window,year,seed,metric,ann,mps,mps_minus_ann
2019-2020,2019,7,max_drawdown,-0.0779497912377603,-0.0642950520779923,0.013654739159768003
2019-2020,2019,7,annualized_turnover,1.462342095482822,1.143072461451413,-0.31926963403140896
2019-2020,2019,7,total_cost,1503.798276052952,1180.9572146861556,-322.84106136679634
2019-2020,2020,7,period_return,0.1935947025145372,0.3674352822253841,0.17384057971084688
2019-2020,2020,7,sharpe,0.6827343195181773,1.101380703642616,0.41864638412443866
2019-2020,2020,7,max_drawdown,-0.2695057081867889,-0.2614367026057055,0.008069005581083366
2019-2020,2020,7,annualized_turnover,0.5805461905623758,0.1170823638903888,-0.463463826671987
2019-2020,2020,7,total_cost,708.6816201286316,131.15292695140838,-577.5286931772232
2019-2020,2019,8,period_return,0.2817185462986165,0.2500369736356354,-0.031681572662981106
2019-2020,2019,8,sharpe,2.1246122961612324,2.157429332435248,0.03281703627401544
2019-2020,2019,8,max_drawdown,-0.0691259063417782,-0.0624240280318687,0.006701878309909502
2019-2020,2019,8,annualized_turnover,1.1840411605040146,1.1407075980648365,-0.043333562439178186
2019-2020,2019,8,total_cost,1236.160772687912,1182.621661222458,-53.53911146545397
2019-2020,2020,8,period_return,0.3460035041667932,0.2304082447147586,-0.11559525945203461
2019-2020,2020,8,sharpe,1.1058302115310563,0.8270860294916897,-0.2787441820393666
2019-2020,2020,8,max_drawdown,-0.190228046613797,-0.1981023618708294,-0.007874315257032416
2019-2020,2020,8,annualized_turnover,0.142150972103468,0.033565882901736,-0.108585089201732
2019-2020,2020,8,total_cost,177.64420003128052,46.4386678314209,-131.20553219985962
2019-2020,2019,9,period_return,0.0041574499434549,0.0454536968842018,0.0412962469407469
2019-2020,2019,9,sharpe,0.1320791148151979,0.4154293264273963,0.28335021161219837
2019-2020,2019,9,max_drawdown,-0.2510559349687938,-0.1335983991290152,0.11745753583977861
2019-2020,2019,9,annualized_turnover,1.1886402164264975,1.6007648879731238,0.41212467154662624
2019-2020,2019,9,total_cost,1197.3910258681774,1635.2718300347328,437.88080416655544
2019-2020,2020,9,period_return,0.6497799505491062,0.533545883203481,-0.11623406734562525
2019-2020,2020,9,sharpe,1.5480200633300096,1.4749328928486134,-0.07308717048139624
2019-2020,2020,9,max_drawdown,-0.2207353959983898,-0.2312400144153058,-0.010504618416916023
2019-2020,2020,9,annualized_turnover,0.7284949229700134,0.3596624279436499,-0.3688324950263635
2019-2020,2020,9,total_cost,844.20245013237,380.6972354044914,-463.50521472787864
2021-2022,2021,0,period_return,0.2927583387563757,0.32249229043414,0.029733951677764325
2021-2022,2021,0,sharpe,1.8532532083060531,2.025670256558601,0.17241704825254778
2021-2022,2021,0,max_drawdown,-0.0664550990989399,-0.0755330999372378,-0.009078000838297892
2021-2022,2021,0,annualized_turnover,1.0788969937398232,1.0222409970486253,-0.05665599669119792
2021-2022,2021,0,total_cost,1074.139351078033,1007.360558251381,-66.77879282665208
2021-2022,2022,0,period_return,-0.3108747687422523,-0.25001950271621,0.0608552660260423
2021-2022,2022,0,sharpe,-0.99090453154279,-0.8135072067052137,0.1773973248375763
2021-2022,2022,0,max_drawdown,-0.4038223811534205,-0.2643898573747136,0.1394325237787069
2021-2022,2022,0,annualized_turnover,0.3881875168558762,0.0160554652843284,-0.37213205157154783
2021-2022,2022,0,total_cost,343.65362291240695,17.203108699798584,-326.45051421260837
2021-2022,2021,1,period_return,0.2369495893397117,0.2163532627458124,-0.02059632659389929
2021-2022,2021,1,sharpe,1.8870420465558813,1.4775754362884983,-0.40946661026738296
2021-2022,2021,1,max_drawdown,-0.0370024570295371,-0.0538994502181462,-0.0168969931886091
2021-2022,2021,1,annualized_turnover,1.6579650506291632,1.3435061966832773,-0.3144588539458859
2021-2022,2021,1,total_cost,1726.0219626646042,1360.668450399399,-365.35351226520515
2021-2022,2022,1,period_return,-0.044931678505718,-0.1702562488524832,-0.1253245703467652
2021-2022,2022,1,sharpe,-0.0814341221660135,-0.4819563907087644,-0.40052226854275086
2021-2022,2022,1,max_drawdown,-0.1945820851038061,-0.2523785122081687,-0.05779642710436261
2021-2022,2022,1,annualized_turnover,0.6093147110344941,0.9252202645119186,0.31590555347742455
2021-2022,2022,1,total_cost,662.7467677059174,940.648857254982,277.9020895490646
2021-2022,2021,2,period_return,0.3818326501700047,0.2407441217320853,-0.14108852843791939
2021-2022,2021,2,sharpe,2.459936624940106,1.653034028432011,-0.8069025965080947
2021-2022,2021,2,max_drawdown,-0.0859674079199253,-0.0722007807615383,0.013766627158387001
2021-2022,2021,2,annualized_turnover,1.0437433530947784,1.0006695979903384,-0.043073755104440004
2021-2022,2021,2,total_cost,1037.4772561416626,1001.3068796691896,-36.17037647247298
2021-2022,2022,2,period_return,-0.0945496306937578,-0.080280219886977,0.014269410806780791
2021-2022,2022,2,sharpe,-0.3109211749459644,-0.2786713646737317,0.03224981027223267
2021-2022,2022,2,max_drawdown,-0.199834246783806,-0.1569010204799585,0.04293322630384752
2021-2022,2022,2,annualized_turnover,0.0,0.0018219091657492,0.0018219091657492
2021-2022,2022,2,total_cost,0.0,1.98059614944458,1.98059614944458
2021-2022,2021,3,period_return,0.2063085033032223,0.4074072056939866,0.20109870239076427
2021-2022,2021,3,sharpe,1.767839634386035,2.841215447970846,1.0733758135848108
2021-2022,2021,3,max_drawdown,-0.0455312343902352,-0.0480925819260629,-0.0025613475358277
2021-2022,2021,3,annualized_turnover,1.2091617174548357,1.1120939062322652,-0.09706781122257047
2021-2022,2021,3,total_cost,1237.951187438965,1135.2407867650986,-102.71040067386639
2021-2022,2022,3,period_return,-0.0112195123602742,-0.1471821587641795,-0.13596264640390532
2021-2022,2022,3,sharpe,0.0606784350454905,-0.5105721960136027,-0.5712506310590932
2021-2022,2022,3,max_drawdown,-0.1607813922365422,-0.2445568438372504,-0.0837754516007082
2021-2022,2022,3,annualized_turnover,0.4483165742171046,0.1267058593043157,-0.3216107149127889
2021-2022,2022,3,total_cost,494.9613277482986,159.3706926021576,-335.590635146141
2021-2022,2021,4,period_return,0.0620270412410723,0.2385348518796139,0.1765078106385416
2021-2022,2021,4,sharpe,0.5604849643717645,1.78955330921717,1.2290683448454054
2021-2022,2021,4,max_drawdown,-0.0781800730243019,-0.0600585157560968,0.018121557268205093
2021-2022,2021,4,annualized_turnover,1.0959581334630029,1.104070586770591,0.00811245330758803
2021-2022,2021,4,total_cost,1104.1145235052109,1112.1090531167983,7.994529611587495
2021-2022,2022,4,period_return,-0.2345296339411067,-0.2169054412436505,0.017624192697456215
2021-2022,2022,4,sharpe,-0.8755354840830449,-0.7888419491069002,0.08669353497614474
2021-2022,2022,4,max_drawdown,-0.3569796125375936,-0.3206217509190461,0.03635786161854748
2021-2022,2022,4,annualized_turnover,0.1641012310433056,0.103384784834591,-0.060716446208714595
2021-2022,2022,4,total_cost,138.38018102264405,105.77359675598144,-32.60658426666261
2021-2022,2021,5,period_return,0.3114238057530687,0.3597292403615431,0.04830543460847436
2021-2022,2021,5,sharpe,1.8239652305266227,1.7134958088157906,-0.11046942171083218
2021-2022,2021,5,max_drawdown,-0.0692118168437623,-0.0778986440832848,-0.008686827239522493
2021-2022,2021,5,annualized_turnover,1.1733356326834932,1.2184426047230204,0.04510697203952718
2021-2022,2021,5,total_cost,1181.0121638031003,1246.8467880754472,65.8346242723469
2021-2022,2022,5,period_return,-0.2547166024825659,-0.3511790898986849,-0.09646248741611901
2021-2022,2022,5,sharpe,-0.7306283599267349,-0.9445825371269831,-0.21395417720024823
2021-2022,2022,5,max_drawdown,-0.3341035258814497,-0.3842432286177857,-0.050139702736336
2021-2022,2022,5,annualized_turnover,0.0673490277437786,0.1793829111041926,0.112033883360414
2021-2022,2022,5,total_cost,67.65929822349548,174.91187600421907,107.25257778072358
2021-2022,2021,6,period_return,0.0765242880714913,0.1887046347723686,0.1121803467008773
2021-2022,2021,6,sharpe,0.6159088329123982,1.4028388590437617,0.7869300261313635
2021-2022,2021,6,max_drawdown,-0.1035073018299661,-0.071401010886996,0.0321062909429701
2021-2022,2021,6,annualized_turnover,1.060835846046067,1.0203885974179034,-0.04044724862816351
2021-2022,2021,6,total_cost,1075.3998395433428,1013.730867316246,-61.66897222709679
2021-2022,2022,6,period_return,-0.3072181670518958,-0.1526372152687887,0.1545809517831071
2021-2022,2022,6,sharpe,-0.9482906447963058,-0.52949047711389,0.4188001676824158
2021-2022,2022,6,max_drawdown,-0.3290651164798293,-0.229280750656693,0.09978436582313627
2021-2022,2022,6,annualized_turnover,0.2347341880598974,0.0322984805771834,-0.202435707482714
2021-2022,2022,6,total_cost,206.4418477420807,33.07882720088959,-173.36302054119113
2021-2022,2021,7,period_return,0.2707453382696407,0.261051108271997,-0.009694229997643689
2021-2022,2021,7,sharpe,1.6565550225601986,1.5726538503590444,-0.08390117220115423
2021-2022,2021,7,max_drawdown,-0.07655897466365,-0.0566675601705879,0.0198914144930621
2021-2022,2021,7,annualized_turnover,1.0061410593500977,1.205095591718191,0.19895453236809324
2021-2022,2021,7,total_cost,1012.4702249259948,1231.1408735084535,218.67064858245874
2021-2022,2022,7,period_return,-0.2278067492882457,-0.0305928637322336,0.1972138855560121
2021-2022,2022,7,sharpe,-0.7163448121128252,0.0236894421321015,0.7400342542449267
2021-2022,2022,7,max_drawdown,-0.3595223008942612,-0.2015269115580139,0.1579953893362473
2021-2022,2022,7,annualized_turnover,0.1231657232437861,0.057642177177784,-0.0655235460660021
